"1ECO","2","1","SN3","","Economics & Business Level 1","11","Year 11 Diploma","Social Science","AUG","11","/ 34","2026TT","1ECO||2|1|0|AUG|SN3|11|34|||8|1|0||"
"1ART","4","1","MN9","","Visual Art Level 1","11","Year 11 Diploma","ART","ABY","27","/ 54","2026TT","1ART||4|1|0|ABY|MN9|27|54|||8|1|0||"
"3ARD","6","1","","","3ARD","3","Year 3","ARD","","0","/ 0","2026TT","3ARD||6|1|0|||0|0|||8|1|0||"
"1HIS","6","1","TWM13","","History Level 1","11","Year 11 Diploma","Social Science","EVC","25","/ 42","2026TT","1HIS||6|1|0|EVC|TWM13|25|42|||8|1|0||"
"2WSK","4","1","LSP","","Work and Community Skills Year 12","12","NCEA Level 2","Learning Support","GLN","2","/ 2","2026TT","2WSK||4|1|0|GLN|LSP|2|2|||8|1|0|5|200001722"
"3WSK","4","1","LSP","","Work and Community Skills Year 13","13","NCEA Level 3","Learning Support","GLN","3","/ 3","2026TT","3WSK||4|1|0|GLN|LSP|3|3|||8|1|0|5|200001722"
"2OED","1","1","GG1","","Outdoor Education Level 2","12","NCEA Level 2","Health & PE","TNY","13","/ 13","2026TT","2OED||1|1|0|TNY|GG1|13|13|||8|1|0||"
"10MUS","1","1","MUSIC","","Music Year 10","10","Year 10","Music","LIU","12","/ 12","2026TT","10MUS||1|1|0|LIU|MUSIC|12|12|||4|1|0||"
"10TTE","1","1","PR5","","Textiles Technology Year 10","10","Year 10","Technology","GRY","19","/ 20","2026TT","10TTE||1|1|0|GRY|PR5|19|20|||4|1|0||"
"3PED","5","1","GG1","","Physical Education Level 3","13","NCEA Level 3","Health & PE","TNY","17","/ 17","2026TT","3PED||5|1|0|TNY|GG1|17|17|||8|1|0||"
"2ENG","2","1","SN10","","Academic English Level 2","12","NCEA Level 2","English","GDR","26","/ 51","2026TT","2ENG||2|1|0|GDR|SN10|26|51|||8|1|0||"
"1REL","6","1","TWM2","","Religious Education Level 1","11","Year 11 Diploma","Religious Education","SIL","32","/ 136","2026TT","1REL||6|1|0|SIL|TWM2|32|136|||8|1|0||"
"1REL","3","1","TWM2","","Religious Education Level 1","11","Year 11 Diploma","Religious Education","SIL","21","/ 136","2026TT","1REL||3|1|0|SIL|TWM2|21|136|||8|1|0||"
"1REL","1","1","TWM2","","Religious Education Level 1","11","Year 11 Diploma","Religious Education","SIL","32","/ 136","2026TT","1REL||1|1|0|SIL|TWM2|32|136|||8|1|0||"
"3CAR","6","1","TWM1","3REL","Careers Level 3","13","NCEA Level 3","Career Pathways","AKN","19","/ 116","2026TT","3CAR||6|1|0|AKN|TWM1|19|116||3REL|8|4|0||"
"3REL","6","1","TWM1","","Religious Education Level 3","13","NCEA Level 3","Religious Education","NLT","19","/ 116","2026TT","3REL||6|1|0|NLT|TWM1|19|116|||8|1|1||"
"3CAR","6","1","TWM1","3REL","Careers Level 3","13","NCEA Level 3","Career Pathways","NLT","19","/ 116","2026TT","3CAR||6|1|0|NLT|TWM1|19|116||3REL|8|4|1||"
"3REL","5","1","TWM1","","Religious Education Level 3","13","NCEA Level 3","Religious Education","NLT","30","/ 116","2026TT","3REL||5|1|0|NLT|TWM1|30|116|||8|1|1||"
"3CAR","5","1","TWM1","3REL","Careers Level 3","13","NCEA Level 3","Career Pathways","NLT","30","/ 116","2026TT","3CAR||5|1|0|NLT|TWM1|30|116||3REL|8|4|1||"
"1CAR","5","1","NC5","1REL","Careers Level 1","11","Year 11 Diploma","Career Pathways","CHI","30","/ 136","2026TT","1CAR||5|1|0|CHI|NC5|30|136||1REL|8|4|0||"
"1REL","5","1","NC5","","Religious Education Level 1","11","Year 11 Diploma","Religious Education","NLT","30","/ 136","2026TT","1REL||5|1|0|NLT|NC5|30|136|||8|1|1||"
"1CAR","5","1","NC5","1REL","Careers Level 1","11","Year 11 Diploma","Career Pathways","NLT","30","/ 136","2026TT","1CAR||5|1|0|NLT|NC5|30|136||1REL|8|4|1||"
"1CAR","6","1","TWM2","1REL","Careers Level 1","11","Year 11 Diploma","Career Pathways","SIL","32","/ 136","2026TT","1CAR||6|1|0|SIL|TWM2|32|136||1REL|8|4|0||"
"1REL","6","1","TWM2","","Religious Education Level 1","11","Year 11 Diploma","Religious Education","NLT","32","/ 136","2026TT","1REL||6|1|0|NLT|TWM2|32|136|||8|1|1||"
"1CAR","6","1","TWM2","1REL","Careers Level 1","11","Year 11 Diploma","Career Pathways","NLT","32","/ 136","2026TT","1CAR||6|1|0|NLT|TWM2|32|136||1REL|8|4|1||"
"1CAR","3","1","TWM2","1REL","Careers Level 1","11","Year 11 Diploma","Career Pathways","SIL","21","/ 136","2026TT","1CAR||3|1|0|SIL|TWM2|21|136||1REL|8|4|0||"
"1REL","3","1","TWM2","","Religious Education Level 1","11","Year 11 Diploma","Religious Education","NLT","21","/ 136","2026TT","1REL||3|1|0|NLT|TWM2|21|136|||8|1|1||"
"1CAR","3","1","TWM2","1REL","Careers Level 1","11","Year 11 Diploma","Career Pathways","NLT","21","/ 136","2026TT","1CAR||3|1|0|NLT|TWM2|21|136||1REL|8|4|1||"
"3CAR","3","1","TWM1","3REL","Careers Level 3","13","NCEA Level 3","Career Pathways","STC","20","/ 116","2026TT","3CAR||3|1|0|STC|TWM1|20|116||3REL|8|4|0||"
"3REL","3","1","TWM1","","Religious Education Level 3","13","NCEA Level 3","Religious Education","NLT","20","/ 116","2026TT","3REL||3|1|0|NLT|TWM1|20|116|||8|1|1||"
"3CAR","3","1","TWM1","3REL","Careers Level 3","13","NCEA Level 3","Career Pathways","NLT","20","/ 116","2026TT","3CAR||3|1|0|NLT|TWM1|20|116||3REL|8|4|1||"
"3CAR","2","1","TWM1","3REL","Careers Level 3","13","NCEA Level 3","Career Pathways","STC","25","/ 116","2026TT","3CAR||2|1|0|STC|TWM1|25|116||3REL|8|4|0||"
"3REL","2","1","TWM1","","Religious Education Level 3","13","NCEA Level 3","Religious Education","NLT","25","/ 116","2026TT","3REL||2|1|0|NLT|TWM1|25|116|||8|1|1||"
"3CAR","2","1","TWM1","3REL","Careers Level 3","13","NCEA Level 3","Career Pathways","NLT","25","/ 116","2026TT","3CAR||2|1|0|NLT|TWM1|25|116||3REL|8|4|1||"
"3CAR","1","1","TWM1","3REL","Careers Level 3","13","NCEA Level 3","Career Pathways","STC","23","/ 116","2026TT","3CAR||1|1|0|STC|TWM1|23|116||3REL|8|4|0||"
